record_type,source_artifact_path,source_id,benchmark_id,search_id,candidate_id,qualified_id,interface_id,class_label,current_quotient_size,predictive_quotient_size,max_fiber_size,witness_count,discrepancy_metric_value,loop_action_score_current_quotient,loop_action_score_predictive_quotient,survival_fraction,threshold,meets_threshold,support_size,interface_count,carrier_family,route_update_family,observable_family,continuation_catalog_family,flat_count,dissipative_count,coherent_candidate_count,nonflat_count,shortlist_count,cluster_id,distinctness_kind
benchmark_interface,artifacts/results/flat_control.result.json,flat_control:mid,flat_control,,,,mid,flat,1,1,1,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
benchmark_interface,artifacts/results/protocol_trap_naive.result.json,protocol_trap_naive:mid,protocol_trap_naive,,,,mid,artifact_trap,1,2,2,1,1.0,0.0,0.0,,,,,,,,,,,,,,,,
benchmark_interface,artifacts/results/protocol_trap_honest.result.json,protocol_trap_honest:mid,protocol_trap_honest,,,,mid,flat,1,1,1,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
benchmark_interface,artifacts/results/flattenable_raw.result.json,flattenable_raw:mid,flattenable_raw,,,,mid,flattenable,1,2,2,1,1.0,0.0,0.0,,,,,,,,,,,,,,,,
benchmark_interface,artifacts/results/flattenable_completed.result.json,flattenable_completed:mid,flattenable_completed,,,,mid,flat,1,1,1,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
benchmark_interface,artifacts/results/latent_memory_base.result.json,latent_memory_base:mid,latent_memory_base,,,,mid,explicit_latent,1,2,2,1,1.0,0.0,0.0,,,,,,,,,,,,,,,,
benchmark_interface,artifacts/results/latent_memory_refined.result.json,latent_memory_refined:mid,latent_memory_refined,,,,mid,flat,2,2,1,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
benchmark_interface,artifacts/results/dissipative_memory.result.json,dissipative_memory:mid,dissipative_memory,,,,mid,dissipative,1,2,2,1,1.0,0.0,0.0,,,,,,,,,,,,,,,,
benchmark_interface,artifacts/results/dissipative_memory.result.json,dissipative_memory:end,dissipative_memory,,,,end,flat,1,1,1,0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
benchmark_interface,artifacts/results/memory_wheel.result.json,memory_wheel:mid,memory_wheel,,,,mid,coherent_candidate,1,2,2,1,1.0,0.0,1.0,,,,,,,,,,,,,,,,
benchmark_robustness,artifacts/results/robustness/flat_control.robustness.json,flat_control,flat_control,,,,,,,,,,,,,1.0,0.95,True,,,,,,,,,,,,,
benchmark_robustness,artifacts/results/robustness/protocol_trap_honest.robustness.json,protocol_trap_honest,protocol_trap_honest,,,,,,,,,,,,,1.0,0.95,True,,,,,,,,,,,,,
benchmark_robustness,artifacts/results/robustness/flattenable_completed.robustness.json,flattenable_completed,flattenable_completed,,,,,,,,,,,,,1.0,0.8,True,,,,,,,,,,,,,
benchmark_robustness,artifacts/results/robustness/latent_memory_base.robustness.json,latent_memory_base,latent_memory_base,,,,,,,,,,,,,1.0,0.8,True,,,,,,,,,,,,,
benchmark_robustness,artifacts/results/robustness/latent_memory_refined.robustness.json,latent_memory_refined,latent_memory_refined,,,,,,,,,,,,,1.0,0.8,True,,,,,,,,,,,,,
